STEMFLAG,OCCTITLE,ANNMEDSAL,EDLEVEL,EDLEVELNUM,county
NON-STEM,Adhesive Bonding Machine Operators and Tenders,30260,High school diploma or equivalent,2,spokane
NON-STEM,Adhesive Bonding Machine Operators and Tenders,37772,High school diploma or equivalent,2,vancouver
NON-STEM,Adhesive Bonding Machine Operators and Tenders,50009,High school diploma or equivalent,2,snohomish
NON-STEM,Adhesive Bonding Machine Operators and Tenders,50009,High school diploma or equivalent,2,king
NON-STEM,Adhesive Bonding Machine Operators and Tenders,42013,High school diploma or equivalent,2,yakima
NON-STEM,"Administrative Law Judges, Adjudicators, and Hearing Officers",44951,Doctoral or professional degree,9,yakima
NON-STEM,"Administrative Law Judges, Adjudicators, and Hearing Officers",80185,Doctoral or professional degree,9,vancouver
NON-STEM,"Administrative Law Judges, Adjudicators, and Hearing Officers",90395,Doctoral or professional degree,9,spokane
NON-STEM,"Administrative Law Judges, Adjudicators, and Hearing Officers",101072,Doctoral or professional degree,9,snohomish
NON-STEM,"Administrative Law Judges, Adjudicators, and Hearing Officers",101072,Doctoral or professional degree,9,king
NON-STEM,Administrative Services Managers,77112,Bachelor's degree,6,spokane
NON-STEM,Administrative Services Managers,81878,Bachelor's degree,6,vancouver
NON-STEM,Administrative Services Managers,83987,Bachelor's degree,6,yakima
NON-STEM,Administrative Services Managers,102614,Bachelor's degree,6,snohomish
NON-STEM,Administrative Services Managers,102614,Bachelor's degree,6,king
NON-STEM,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,39950,Bachelor's degree,6,spokane
NON-STEM,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,52878,Bachelor's degree,6,vancouver
NON-STEM,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,53000,Bachelor's degree,6,yakima
NON-STEM,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,56590,Bachelor's degree,6,snohomish
NON-STEM,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,56590,Bachelor's degree,6,king
NON-STEM,Advertising and Promotions Managers,54765,Bachelor's degree,6,yakima
NON-STEM,Advertising and Promotions Managers,69284,Bachelor's degree,6,spokane
NON-STEM,Advertising and Promotions Managers,81229,Bachelor's degree,6,vancouver
NON-STEM,Advertising and Promotions Managers,120500,Bachelor's degree,6,snohomish
NON-STEM,Advertising and Promotions Managers,120500,Bachelor's degree,6,king
NON-STEM,Advertising Sales Agents,55388,High school diploma or equivalent,2,yakima
NON-STEM,Advertising Sales Agents,55597,High school diploma or equivalent,2,snohomish
NON-STEM,Advertising Sales Agents,55597,High school diploma or equivalent,2,king
NON-STEM,Advertising Sales Agents,58028,High school diploma or equivalent,2,spokane
NON-STEM,Advertising Sales Agents,58133,High school diploma or equivalent,2,vancouver
NON-STEM,"Agents and Business Managers of Artists, Performers, and Athletes",38318,Bachelor's degree,6,snohomish
NON-STEM,"Agents and Business Managers of Artists, Performers, and Athletes",38318,Bachelor's degree,6,king
NON-STEM,"Agents and Business Managers of Artists, Performers, and Athletes",43584,Bachelor's degree,6,spokane
NON-STEM,"Agents and Business Managers of Artists, Performers, and Athletes",54116,Bachelor's degree,6,vancouver
NON-STEM,"Agents and Business Managers of Artists, Performers, and Athletes",45339,Bachelor's degree,6,yakima
NON-STEM,"Agricultural Workers, All Other",33424,No formal educational credential,1,yakima
NON-STEM,"Agricultural Workers, All Other",42610,No formal educational credential,1,spokane
NON-STEM,"Agricultural Workers, All Other",47203,No formal educational credential,1,snohomish
NON-STEM,"Agricultural Workers, All Other",47203,No formal educational credential,1,king
NON-STEM,"Agricultural Workers, All Other",45672,No formal educational credential,1,vancouver
NON-STEM,Air Traffic Controllers,119795,Associate's degree,5,spokane
NON-STEM,Aircraft Cargo Handling Supervisors,40200,High school diploma or equivalent,2,snohomish
NON-STEM,Aircraft Cargo Handling Supervisors,40200,High school diploma or equivalent,2,king
NON-STEM,Aircraft Cargo Handling Supervisors,43233,High school diploma or equivalent,2,yakima
NON-STEM,Aircraft Cargo Handling Supervisors,43233,High school diploma or equivalent,2,spokane
NON-STEM,Aircraft Cargo Handling Supervisors,49299,High school diploma or equivalent,2,vancouver
NON-STEM,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54034,High school diploma or equivalent,2,snohomish
NON-STEM,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54034,High school diploma or equivalent,2,king
NON-STEM,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54034,High school diploma or equivalent,2,yakima
NON-STEM,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54034,High school diploma or equivalent,2,vancouver
NON-STEM,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54034,High school diploma or equivalent,2,spokane
NON-STEM,Airfield Operations Specialists,58425,High school diploma or equivalent,2,spokane
NON-STEM,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",34445,High school diploma or equivalent,2,snohomish
NON-STEM,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",34445,High school diploma or equivalent,2,king
NON-STEM,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",34445,High school diploma or equivalent,2,yakima
NON-STEM,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",34445,High school diploma or equivalent,2,vancouver
NON-STEM,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",34445,High school diploma or equivalent,2,spokane
NON-STEM,Amusement and Recreation Attendants,22174,No formal educational credential,1,spokane
NON-STEM,Amusement and Recreation Attendants,23625,No formal educational credential,1,vancouver
NON-STEM,Amusement and Recreation Attendants,23942,No formal educational credential,1,yakima
NON-STEM,Amusement and Recreation Attendants,24177,No formal educational credential,1,snohomish
NON-STEM,Amusement and Recreation Attendants,24177,No formal educational credential,1,king
NON-STEM,Animal Control Workers,49294,High school diploma or equivalent,2,vancouver
NON-STEM,Animal Control Workers,56045,High school diploma or equivalent,2,spokane
NON-STEM,Animal Control Workers,59420,High school diploma or equivalent,2,snohomish
NON-STEM,Animal Control Workers,59420,High school diploma or equivalent,2,king
NON-STEM,Animal Control Workers,58295,High school diploma or equivalent,2,yakima
NON-STEM,Animal Trainers,27038,High school diploma or equivalent,2,snohomish
NON-STEM,Animal Trainers,27038,High school diploma or equivalent,2,king
NON-STEM,Animal Trainers,27610,High school diploma or equivalent,2,vancouver
NON-STEM,Animal Trainers,29256,High school diploma or equivalent,2,spokane
NON-STEM,Animal Trainers,27736,High school diploma or equivalent,2,yakima
NON-STEM,Appraisers and Assessors of Real Estate,64052,Bachelor's degree,6,vancouver
NON-STEM,Appraisers and Assessors of Real Estate,77427,Bachelor's degree,6,spokane
NON-STEM,"Arbitrators, Mediators, and Conciliators",70836,Bachelor's degree,6,vancouver
NON-STEM,"Arbitrators, Mediators, and Conciliators",70772,Bachelor's degree,6,yakima
NON-STEM,"Arbitrators, Mediators, and Conciliators",81354,Bachelor's degree,6,spokane
NON-STEM,"Arbitrators, Mediators, and Conciliators",86613,Bachelor's degree,6,snohomish
NON-STEM,"Arbitrators, Mediators, and Conciliators",86613,Bachelor's degree,6,king
NON-STEM,Archivists,56387,Master's degree,8,vancouver
NON-STEM,Archivists,60963,Master's degree,8,spokane
NON-STEM,Archivists,63251,Master's degree,8,snohomish
NON-STEM,Archivists,63251,Master's degree,8,king
NON-STEM,Archivists,62488,Master's degree,8,yakima
NON-STEM,Art Directors,73685,Bachelor's degree,6,vancouver
NON-STEM,Art Directors,65669,Bachelor's degree,6,yakima
NON-STEM,Art Directors,84210,Bachelor's degree,6,spokane
NON-STEM,Art Directors,106730,Bachelor's degree,6,snohomish
NON-STEM,Art Directors,106730,Bachelor's degree,6,king
NON-STEM,"Art, Drama, and Music Teachers, Postsecondary",68504,Master's degree,8,snohomish
NON-STEM,"Art, Drama, and Music Teachers, Postsecondary",68504,Master's degree,8,king
NON-STEM,"Art, Drama, and Music Teachers, Postsecondary",70566,Master's degree,8,spokane
NON-STEM,"Art, Drama, and Music Teachers, Postsecondary",74689,Master's degree,8,vancouver
NON-STEM,"Art, Drama, and Music Teachers, Postsecondary",71253,Master's degree,8,yakima
NON-STEM,"Artists and Related Workers, All Other",41603,No formal educational credential,1,vancouver
NON-STEM,"Artists and Related Workers, All Other",53784,No formal educational credential,1,spokane
NON-STEM,"Artists and Related Workers, All Other",55547,No formal educational credential,1,yakima
NON-STEM,"Artists and Related Workers, All Other",59875,No formal educational credential,1,snohomish
NON-STEM,"Artists and Related Workers, All Other",59875,No formal educational credential,1,king
NON-STEM,"Assemblers and Fabricators, All Other",27156,High school diploma or equivalent,2,spokane
NON-STEM,"Assemblers and Fabricators, All Other",30036,High school diploma or equivalent,2,yakima
NON-STEM,"Assemblers and Fabricators, All Other",32000,High school diploma or equivalent,2,vancouver
NON-STEM,"Assemblers and Fabricators, All Other",32062,High school diploma or equivalent,2,snohomish
NON-STEM,"Assemblers and Fabricators, All Other",32062,High school diploma or equivalent,2,king
NON-STEM,Athletes and Sports Competitors,32041,No formal educational credential,1,yakima
NON-STEM,Athletes and Sports Competitors,88154,No formal educational credential,1,vancouver
NON-STEM,Athletes and Sports Competitors,102275,No formal educational credential,1,spokane
NON-STEM,Athletes and Sports Competitors,109336,No formal educational credential,1,snohomish
NON-STEM,Athletes and Sports Competitors,109336,No formal educational credential,1,king
NON-STEM,Audio-Visual and Multimedia Collections Specialists,45943,Bachelor's degree,6,spokane
NON-STEM,Audio-Visual and Multimedia Collections Specialists,46703,Bachelor's degree,6,snohomish
NON-STEM,Audio-Visual and Multimedia Collections Specialists,46703,Bachelor's degree,6,king
NON-STEM,Audio-Visual and Multimedia Collections Specialists,62171,Bachelor's degree,6,yakima
NON-STEM,Audio-Visual and Multimedia Collections Specialists,48427,Bachelor's degree,6,vancouver
NON-STEM,Automotive and Watercraft Service Attendants,24919,No formal educational credential,1,vancouver
NON-STEM,Automotive and Watercraft Service Attendants,26535,No formal educational credential,1,snohomish
NON-STEM,Automotive and Watercraft Service Attendants,26535,No formal educational credential,1,king
NON-STEM,Automotive and Watercraft Service Attendants,27786,No formal educational credential,1,yakima
NON-STEM,Automotive and Watercraft Service Attendants,29972,No formal educational credential,1,spokane
NON-STEM,Automotive Body and Related Repairers,31609,High school diploma or equivalent,2,yakima
NON-STEM,Automotive Body and Related Repairers,47460,High school diploma or equivalent,2,vancouver
NON-STEM,Automotive Body and Related Repairers,52267,High school diploma or equivalent,2,spokane
NON-STEM,Automotive Body and Related Repairers,56627,High school diploma or equivalent,2,snohomish
NON-STEM,Automotive Body and Related Repairers,56627,High school diploma or equivalent,2,king
NON-STEM,Automotive Glass Installers and Repairers,35372,High school diploma or equivalent,2,yakima
NON-STEM,Automotive Glass Installers and Repairers,37096,High school diploma or equivalent,2,spokane
NON-STEM,Automotive Glass Installers and Repairers,37958,High school diploma or equivalent,2,snohomish
NON-STEM,Automotive Glass Installers and Repairers,37958,High school diploma or equivalent,2,king
NON-STEM,Automotive Glass Installers and Repairers,37671,High school diploma or equivalent,2,vancouver
NON-STEM,Automotive Service Technicians and Mechanics,39854,Postsecondary nondegree award,7,yakima
NON-STEM,Automotive Service Technicians and Mechanics,43424,Postsecondary nondegree award,7,vancouver
NON-STEM,Automotive Service Technicians and Mechanics,44488,Postsecondary nondegree award,7,spokane
NON-STEM,Automotive Service Technicians and Mechanics,46963,Postsecondary nondegree award,7,snohomish
NON-STEM,Automotive Service Technicians and Mechanics,46963,Postsecondary nondegree award,7,king
NON-STEM,Baggage Porters and Bellhops,21326,High school diploma or equivalent,2,vancouver
NON-STEM,Baggage Porters and Bellhops,21438,High school diploma or equivalent,2,spokane
NON-STEM,Baggage Porters and Bellhops,24586,High school diploma or equivalent,2,snohomish
NON-STEM,Baggage Porters and Bellhops,24586,High school diploma or equivalent,2,king
NON-STEM,Baggage Porters and Bellhops,22984,High school diploma or equivalent,2,yakima
NON-STEM,Bailiffs,24052,High school diploma or equivalent,2,yakima
NON-STEM,Bailiffs,42969,High school diploma or equivalent,2,vancouver
NON-STEM,Bailiffs,52002,High school diploma or equivalent,2,spokane
NON-STEM,Bailiffs,56518,High school diploma or equivalent,2,snohomish
NON-STEM,Bailiffs,56518,High school diploma or equivalent,2,king
NON-STEM,Bakers,26993,No formal educational credential,1,yakima
NON-STEM,Bakers,28418,No formal educational credential,1,snohomish
NON-STEM,Bakers,28418,No formal educational credential,1,king
NON-STEM,Bakers,28479,No formal educational credential,1,spokane
NON-STEM,Bakers,31227,No formal educational credential,1,vancouver
NON-STEM,Barbers,25955,Postsecondary nondegree award,7,snohomish
NON-STEM,Barbers,25955,Postsecondary nondegree award,7,king
NON-STEM,Barbers,25955,Postsecondary nondegree award,7,yakima
NON-STEM,Barbers,25955,Postsecondary nondegree award,7,vancouver
NON-STEM,Barbers,25955,Postsecondary nondegree award,7,spokane
NON-STEM,Bartenders,22154,No formal educational credential,1,vancouver
NON-STEM,Bartenders,23237,No formal educational credential,1,yakima
NON-STEM,Bartenders,25270,No formal educational credential,1,spokane
NON-STEM,Bartenders,33823,No formal educational credential,1,snohomish
NON-STEM,Bartenders,33823,No formal educational credential,1,king
NON-STEM,Bicycle Repairers,26661,High school diploma or equivalent,2,vancouver
NON-STEM,Bicycle Repairers,28134,High school diploma or equivalent,2,spokane
NON-STEM,Bicycle Repairers,28871,High school diploma or equivalent,2,snohomish
NON-STEM,Bicycle Repairers,28871,High school diploma or equivalent,2,king
NON-STEM,Bicycle Repairers,28625,High school diploma or equivalent,2,yakima
NON-STEM,Bill and Account Collectors,34280,High school diploma or equivalent,2,spokane
NON-STEM,Bill and Account Collectors,37325,High school diploma or equivalent,2,snohomish
NON-STEM,Bill and Account Collectors,37325,High school diploma or equivalent,2,king
NON-STEM,Bill and Account Collectors,38451,High school diploma or equivalent,2,yakima
NON-STEM,Bill and Account Collectors,38563,High school diploma or equivalent,2,vancouver
NON-STEM,Billing and Posting Clerks,33164,High school diploma or equivalent,2,spokane
NON-STEM,Billing and Posting Clerks,36097,High school diploma or equivalent,2,yakima
NON-STEM,Billing and Posting Clerks,39202,High school diploma or equivalent,2,vancouver
NON-STEM,Billing and Posting Clerks,41729,High school diploma or equivalent,2,snohomish
NON-STEM,Billing and Posting Clerks,41729,High school diploma or equivalent,2,king
NON-STEM,Bridge and Lock Tenders,51393,High school diploma or equivalent,2,snohomish
NON-STEM,Bridge and Lock Tenders,51393,High school diploma or equivalent,2,king
NON-STEM,Bridge and Lock Tenders,51393,High school diploma or equivalent,2,yakima
NON-STEM,Bridge and Lock Tenders,51393,High school diploma or equivalent,2,vancouver
NON-STEM,Bridge and Lock Tenders,51393,High school diploma or equivalent,2,spokane
NON-STEM,Broadcast News Analysts,72773,Bachelor's degree,6,vancouver
NON-STEM,Broadcast News Analysts,72773,Bachelor's degree,6,yakima
NON-STEM,Broadcast News Analysts,72773,Bachelor's degree,6,snohomish
NON-STEM,Broadcast News Analysts,72773,Bachelor's degree,6,spokane
NON-STEM,Broadcast News Analysts,72773,Bachelor's degree,6,king
NON-STEM,Broadcast Technicians,35550,Associate's degree,5,spokane
NON-STEM,Brokerage Clerks,50051,High school diploma or equivalent,2,spokane
NON-STEM,Brokerage Clerks,50700,High school diploma or equivalent,2,snohomish
NON-STEM,Brokerage Clerks,50700,High school diploma or equivalent,2,king
NON-STEM,Brokerage Clerks,55642,High school diploma or equivalent,2,yakima
NON-STEM,Brokerage Clerks,57357,High school diploma or equivalent,2,vancouver
NON-STEM,"Building Cleaning Workers, All Other",30042,No formal educational credential,1,snohomish
NON-STEM,"Building Cleaning Workers, All Other",30042,No formal educational credential,1,king
NON-STEM,"Building Cleaning Workers, All Other",30642,No formal educational credential,1,spokane
NON-STEM,"Building Cleaning Workers, All Other",31841,No formal educational credential,1,vancouver
NON-STEM,"Building Cleaning Workers, All Other",30842,No formal educational credential,1,yakima
NON-STEM,"Bus Drivers, School or Special Client ",28315,High school diploma or equivalent,2,spokane
NON-STEM,"Bus Drivers, School or Special Client ",33642,High school diploma or equivalent,2,vancouver
NON-STEM,"Bus Drivers, School or Special Client ",34720,High school diploma or equivalent,2,yakima
NON-STEM,"Bus Drivers, School or Special Client ",37495,High school diploma or equivalent,2,snohomish
NON-STEM,"Bus Drivers, School or Special Client ",37495,High school diploma or equivalent,2,king
NON-STEM,"Bus Drivers, Transit and Intercity ",32987,High school diploma or equivalent,2,yakima
NON-STEM,"Bus Drivers, Transit and Intercity ",37719,High school diploma or equivalent,2,spokane
NON-STEM,"Bus Drivers, Transit and Intercity ",45944,High school diploma or equivalent,2,vancouver
NON-STEM,"Bus Drivers, Transit and Intercity ",50610,High school diploma or equivalent,2,snohomish
NON-STEM,"Bus Drivers, Transit and Intercity ",50610,High school diploma or equivalent,2,king
NON-STEM,Butchers and Meat Cutters,32133,No formal educational credential,1,yakima
NON-STEM,Butchers and Meat Cutters,35644,No formal educational credential,1,snohomish
NON-STEM,Butchers and Meat Cutters,35644,No formal educational credential,1,king
NON-STEM,Butchers and Meat Cutters,36550,No formal educational credential,1,spokane
NON-STEM,Butchers and Meat Cutters,37222,No formal educational credential,1,vancouver
NON-STEM,Camera and Photographic Equipment Repairers,60886,Associate's degree,5,vancouver
NON-STEM,Camera and Photographic Equipment Repairers,60886,Associate's degree,5,spokane
NON-STEM,"Camera Operators, Television, Video, and Motion Picture",45913,Bachelor's degree,6,snohomish
NON-STEM,"Camera Operators, Television, Video, and Motion Picture",45913,Bachelor's degree,6,king
NON-STEM,"Camera Operators, Television, Video, and Motion Picture",53400,Bachelor's degree,6,yakima
NON-STEM,"Camera Operators, Television, Video, and Motion Picture",54034,Bachelor's degree,6,spokane
NON-STEM,"Camera Operators, Television, Video, and Motion Picture",59966,Bachelor's degree,6,vancouver
NON-STEM,Cargo and Freight Agents,42460,High school diploma or equivalent,2,spokane
NON-STEM,Cargo and Freight Agents,47900,High school diploma or equivalent,2,yakima
NON-STEM,Cargo and Freight Agents,51654,High school diploma or equivalent,2,vancouver
NON-STEM,Cargo and Freight Agents,52435,High school diploma or equivalent,2,snohomish
NON-STEM,Cargo and Freight Agents,52435,High school diploma or equivalent,2,king
NON-STEM,Carpet Installers,35074,No formal educational credential,1,spokane
NON-STEM,Carpet Installers,40819,No formal educational credential,1,snohomish
NON-STEM,Carpet Installers,40819,No formal educational credential,1,king
NON-STEM,Carpet Installers,43180,No formal educational credential,1,vancouver
NON-STEM,Carpet Installers,49433,No formal educational credential,1,yakima
NON-STEM,Cashiers,24833,No formal educational credential,1,yakima
NON-STEM,Cashiers,25944,No formal educational credential,1,vancouver
NON-STEM,Cashiers,26321,No formal educational credential,1,spokane
NON-STEM,Cashiers,29004,No formal educational credential,1,snohomish
NON-STEM,Cashiers,29004,No formal educational credential,1,king
NON-STEM,Cement Masons and Concrete Finishers,42714,No formal educational credential,1,snohomish
NON-STEM,Cement Masons and Concrete Finishers,42714,No formal educational credential,1,king
NON-STEM,Cement Masons and Concrete Finishers,47710,No formal educational credential,1,yakima
NON-STEM,Cement Masons and Concrete Finishers,48308,No formal educational credential,1,spokane
NON-STEM,Cement Masons and Concrete Finishers,51419,No formal educational credential,1,vancouver
NON-STEM,Chefs and Head Cooks,40710,High school diploma or equivalent,2,spokane
NON-STEM,Chefs and Head Cooks,44502,High school diploma or equivalent,2,vancouver
NON-STEM,Chefs and Head Cooks,50336,High school diploma or equivalent,2,yakima
NON-STEM,Chefs and Head Cooks,54178,High school diploma or equivalent,2,snohomish
NON-STEM,Chefs and Head Cooks,54178,High school diploma or equivalent,2,king
NON-STEM,Chief Executives,129119,Bachelor's degree,6,yakima
NON-STEM,Chief Executives,192654,Bachelor's degree,6,spokane
NON-STEM,Chief Executives,203088,Bachelor's degree,6,vancouver
NON-STEM,Chief Executives,232341,Bachelor's degree,6,snohomish
NON-STEM,Chief Executives,232341,Bachelor's degree,6,king
NON-STEM,"Child, Family, and School Social Workers",44027,Bachelor's degree,6,vancouver
NON-STEM,"Child, Family, and School Social Workers",47667,Bachelor's degree,6,yakima
NON-STEM,"Child, Family, and School Social Workers",48387,Bachelor's degree,6,snohomish
NON-STEM,"Child, Family, and School Social Workers",48387,Bachelor's degree,6,king
NON-STEM,"Child, Family, and School Social Workers",50840,Bachelor's degree,6,spokane
NON-STEM,Childcare Workers,22460,High school diploma or equivalent,2,spokane
NON-STEM,Childcare Workers,23789,High school diploma or equivalent,2,yakima
NON-STEM,Childcare Workers,24882,High school diploma or equivalent,2,vancouver
NON-STEM,Childcare Workers,25516,High school diploma or equivalent,2,snohomish
NON-STEM,Childcare Workers,25516,High school diploma or equivalent,2,king
NON-STEM,Choreographers,55870,High school diploma or equivalent,2,vancouver
NON-STEM,Choreographers,69876,High school diploma or equivalent,2,spokane
NON-STEM,Choreographers,50421,High school diploma or equivalent,2,yakima
NON-STEM,Choreographers,76879,High school diploma or equivalent,2,snohomish
NON-STEM,Choreographers,76879,High school diploma or equivalent,2,king
NON-STEM,Cleaners of Vehicles and Equipment,24288,No formal educational credential,1,yakima
NON-STEM,Cleaners of Vehicles and Equipment,24339,No formal educational credential,1,spokane
NON-STEM,Cleaners of Vehicles and Equipment,26485,No formal educational credential,1,vancouver
NON-STEM,Cleaners of Vehicles and Equipment,29524,No formal educational credential,1,snohomish
NON-STEM,Cleaners of Vehicles and Equipment,29524,No formal educational credential,1,king
NON-STEM,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",25324,No formal educational credential,1,yakima
NON-STEM,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",27714,No formal educational credential,1,spokane
NON-STEM,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",30067,No formal educational credential,1,vancouver
NON-STEM,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",34311,No formal educational credential,1,snohomish
NON-STEM,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",34311,No formal educational credential,1,king
NON-STEM,Clergy,31601,Bachelor's degree,6,yakima
NON-STEM,Clergy,48782,Bachelor's degree,6,vancouver
NON-STEM,Clergy,55870,Bachelor's degree,6,spokane
NON-STEM,Clergy,61244,Bachelor's degree,6,snohomish
NON-STEM,Clergy,61244,Bachelor's degree,6,king
NON-STEM,Coaches and Scouts,31585,Bachelor's degree,6,yakima
NON-STEM,Coaches and Scouts,37791,Bachelor's degree,6,spokane
NON-STEM,Coaches and Scouts,39200,Bachelor's degree,6,snohomish
NON-STEM,Coaches and Scouts,39200,Bachelor's degree,6,king
NON-STEM,Coaches and Scouts,39687,Bachelor's degree,6,vancouver
NON-STEM,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",29089,High school diploma or equivalent,2,yakima
NON-STEM,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",30616,High school diploma or equivalent,2,spokane
NON-STEM,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",34301,High school diploma or equivalent,2,vancouver
NON-STEM,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",35329,High school diploma or equivalent,2,snohomish
NON-STEM,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",35329,High school diploma or equivalent,2,king
NON-STEM,"Coil Winders, Tapers, and Finishers",28723,High school diploma or equivalent,2,vancouver
NON-STEM,"Coil Winders, Tapers, and Finishers",31997,High school diploma or equivalent,2,spokane
NON-STEM,"Coil Winders, Tapers, and Finishers",32016,High school diploma or equivalent,2,yakima
NON-STEM,"Coil Winders, Tapers, and Finishers",33634,High school diploma or equivalent,2,snohomish
NON-STEM,"Coil Winders, Tapers, and Finishers",33634,High school diploma or equivalent,2,king
NON-STEM,"Coin, Vending, and Amusement Machine Servicers and Repairers",32471,High school diploma or equivalent,2,spokane
NON-STEM,"Coin, Vending, and Amusement Machine Servicers and Repairers",32939,High school diploma or equivalent,2,yakima
NON-STEM,"Coin, Vending, and Amusement Machine Servicers and Repairers",33648,High school diploma or equivalent,2,vancouver
NON-STEM,"Coin, Vending, and Amusement Machine Servicers and Repairers",36822,High school diploma or equivalent,2,snohomish
NON-STEM,"Coin, Vending, and Amusement Machine Servicers and Repairers",36822,High school diploma or equivalent,2,king
NON-STEM,"Combined Food Preparation and Serving Workers, Including Fast Food",22195,No formal educational credential,1,vancouver
NON-STEM,"Combined Food Preparation and Serving Workers, Including Fast Food",22256,No formal educational credential,1,yakima
NON-STEM,"Combined Food Preparation and Serving Workers, Including Fast Food",22450,No formal educational credential,1,spokane
NON-STEM,"Combined Food Preparation and Serving Workers, Including Fast Food",22797,No formal educational credential,1,snohomish
NON-STEM,"Combined Food Preparation and Serving Workers, Including Fast Food",22797,No formal educational credential,1,king
NON-STEM,"Communications Equipment Operators, All Other",33702,High school diploma or equivalent,2,snohomish
NON-STEM,"Communications Equipment Operators, All Other",33702,High school diploma or equivalent,2,king
NON-STEM,"Communications Equipment Operators, All Other",33702,High school diploma or equivalent,2,yakima
NON-STEM,"Communications Equipment Operators, All Other",33702,High school diploma or equivalent,2,vancouver
NON-STEM,"Communications Equipment Operators, All Other",33702,High school diploma or equivalent,2,spokane
NON-STEM,"Communications Teachers, Postsecondary",33702,Doctoral or professional degree,9,yakima
NON-STEM,"Communications Teachers, Postsecondary",56285,Doctoral or professional degree,9,spokane
NON-STEM,"Communications Teachers, Postsecondary",57806,Doctoral or professional degree,9,snohomish
NON-STEM,"Communications Teachers, Postsecondary",57806,Doctoral or professional degree,9,king
NON-STEM,"Communications Teachers, Postsecondary",68423,Doctoral or professional degree,9,vancouver
NON-STEM,"Community and Social Service Specialists, All Other",26485,Master's degree,8,yakima
NON-STEM,"Community and Social Service Specialists, All Other",35753,Master's degree,8,spokane
NON-STEM,"Community and Social Service Specialists, All Other",38166,Master's degree,8,vancouver
NON-STEM,"Community and Social Service Specialists, All Other",47596,Master's degree,8,snohomish
NON-STEM,"Community and Social Service Specialists, All Other",47596,Master's degree,8,king
NON-STEM,Community Health Workers,44523,High school diploma or equivalent,2,spokane
NON-STEM,Community Health Workers,50455,High school diploma or equivalent,2,vancouver
NON-STEM,Compensation and Benefits Managers,47543,Bachelor's degree,6,yakima
NON-STEM,Compensation and Benefits Managers,93113,Bachelor's degree,6,spokane
NON-STEM,Compensation and Benefits Managers,98467,Bachelor's degree,6,vancouver
NON-STEM,Compensation and Benefits Managers,125935,Bachelor's degree,6,snohomish
NON-STEM,Compensation and Benefits Managers,125935,Bachelor's degree,6,king
NON-STEM,Compliance Officers,62613,Bachelor's degree,6,yakima
NON-STEM,Compliance Officers,62775,Bachelor's degree,6,spokane
NON-STEM,Compliance Officers,68504,Bachelor's degree,6,vancouver
NON-STEM,Compliance Officers,76727,Bachelor's degree,6,snohomish
NON-STEM,Compliance Officers,76727,Bachelor's degree,6,king
NON-STEM,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",60632,High school diploma or equivalent,2,vancouver
NON-STEM,Computer Operators,41547,High school diploma or equivalent,2,vancouver
NON-STEM,Computer Operators,43231,High school diploma or equivalent,2,spokane
NON-STEM,"Computer, Automated Teller, and Office Machine Repairers",31021,"Some college, no degree",4,spokane
NON-STEM,"Computer, Automated Teller, and Office Machine Repairers",33698,"Some college, no degree",4,yakima
NON-STEM,"Computer, Automated Teller, and Office Machine Repairers",35858,"Some college, no degree",4,vancouver
NON-STEM,"Computer, Automated Teller, and Office Machine Repairers",40787,"Some college, no degree",4,snohomish
NON-STEM,"Computer, Automated Teller, and Office Machine Repairers",40787,"Some college, no degree",4,king
NON-STEM,Concierges,26813,High school diploma or equivalent,2,spokane
NON-STEM,Concierges,28867,High school diploma or equivalent,2,vancouver
NON-STEM,Concierges,30890,High school diploma or equivalent,2,snohomish
NON-STEM,Concierges,30890,High school diploma or equivalent,2,king
NON-STEM,Concierges,29365,High school diploma or equivalent,2,yakima
NON-STEM,"Construction and Related Workers, All Other",38762,High school diploma or equivalent,2,spokane
